DayOfYear,Hour,Minute,Out_Temp_C,Out_RH_pct,Outdoor_Air_Temp_C,Outdoor_Air_RH_pct,Outdoor_Air_Flow_kg_s,Outdoor_Air_CO2_ppm,Relief_Air_Temp_C,Relief_Air_RH_pct,Relief_Air_Flow_kg_s,Relief_Air_CO2_ppm,Mixer_Inlet_Temp_C,Mixer_Inlet_RH_pct,Mixer_Inlet_Flow_kg_s,Mixer_Inlet_CO2_ppm,Mixed_Air_Temp_C,Mixed_Air_RH_pct,Mixed_Air_Flow_kg_s,Mixed_Air_CO2_ppm,CC_Out_Temp_C,CC_Out_RH_pct,CC_Out_Flow_kg_s,CC_Out_CO2_ppm,HC_Out_Temp_C,HC_Out_RH_pct,HC_Out_Flow_kg_s,HC_Out_CO2_ppm,Fan_Out_Temp_C,Fan_Out_RH_pct,Fan_Out_Flow_kg_s,Fan_Out_CO2_ppm,SPACE1-1_Temp_C,SPACE1-1_T_m_C,SPACE1-1_W_in_kg_kg,SPACE1-1_RH_pct,SPACE1-1_VAV_Flow_kg_s,SPACE1-1_Reheater_W,SPACE1-1_CO2_ppm,SPACE1-1_Occupants,SPACE1-1_EquipLoad_W,SPACE2-1_Temp_C,SPACE2-1_T_m_C,SPACE2-1_W_in_kg_kg,SPACE2-1_RH_pct,SPACE2-1_VAV_Flow_kg_s,SPACE2-1_Reheater_W,SPACE2-1_CO2_ppm,SPACE2-1_Occupants,SPACE2-1_EquipLoad_W,SPACE3-1_Temp_C,SPACE3-1_T_m_C,SPACE3-1_W_in_kg_kg,SPACE3-1_RH_pct,SPACE3-1_VAV_Flow_kg_s,SPACE3-1_Reheater_W,SPACE3-1_CO2_ppm,SPACE3-1_Occupants,SPACE3-1_EquipLoad_W,SPACE4-1_Temp_C,SPACE4-1_T_m_C,SPACE4-1_W_in_kg_kg,SPACE4-1_RH_pct,SPACE4-1_VAV_Flow_kg_s,SPACE4-1_Reheater_W,SPACE4-1_CO2_ppm,SPACE4-1_Occupants,SPACE4-1_EquipLoad_W,SPACE5-1_Temp_C,SPACE5-1_T_m_C,SPACE5-1_W_in_kg_kg,SPACE5-1_RH_pct,SPACE5-1_VAV_Flow_kg_s,SPACE5-1_Reheater_W,SPACE5-1_CO2_ppm,SPACE5-1_Occupants,SPACE5-1_EquipLoad_W,CC_Power_W,HC_Power_W,Fan_Power_W,Meter_Bldg_Elec_J,Meter_HVAC_Elec_J,Meter_AHU_Elec_J,Meter_Bldg_Gas_J
182,0,15,17.13,89.38,17.03,91.85,0.9234,433.3,24.68,55.32,0.9234,709.74,24.86,56.06,0.9234,728.02,17.36,89.66,0.9234,433.51,14.41,97.97,0.9234,421.69,14.46,96.42,0.9234,413.67,15.04,93.98,0.9234,433.97,23.94,24.35,0.01162,60.51,0.1739,0.0,736.43,11.0,1056.0,23.91,24.39,0.01158,60.93,0.0811,0.0,731.8,5.0,456.0,24.03,24.39,0.01159,60.83,0.178,0.0,749.49,11.0,1056.0,23.9,24.39,0.01158,59.1,0.0812,0.0,724.07,5.0,456.0,23.96,25.06,0.01134,60.03,0.4093,0.0,643.68,20.0,1976.0,994.97,0.0,602.6,11250000.0,1437812.02,1437812.02,0.0
182,0,30,17.23,88.65,17.36,88.55,0.118,466.5,24.85,58.38,0.118,704.59,24.83,58.11,0.1041,704.73,17.34,86.75,0.118,446.17,14.44,99.64,0.118,462.52,14.39,99.33,0.118,453.58,19.51,76.5,0.118,457.19,23.97,23.72,0.01158,60.42,0.0164,0.0,740.62,0.0,468.72,23.98,23.84,0.01153,61.86,0.0156,0.0,712.21,0.0,200.89,23.76,23.74,0.01154,61.62,0.032,0.0,701.84,0.0,574.22,23.76,23.76,0.01155,61.42,0.0064,0.0,705.31,0.0,0.0,23.79,24.0,0.0113,59.22,0.0336,0.0,662.53,0.0,199.21,76.02,0.0,602.6,1488335.04,610758.78,610758.78,0.0
182,0,45,16.94,86.17,17.07,87.04,0.0983,432.6,24.47,59.46,0.0983,720.38,24.53,60.17,0.0983,730.49,16.92,88.41,0.0983,477.62,10.11,100.44,0.0983,437.63,10.02,100.9,0.0983,469.48,15.78,95.05,0.0983,428.1,23.89,23.4,0.01153,61.55,0.0148,0.0,721.08,0.0,458.88,23.81,23.55,0.01147,59.01,0.0064,0.0,756.98,0.0,196.69,23.93,23.4,0.01149,61.75,0.0144,0.0,714.29,0.0,574.21,23.88,25.13,0.01143,60.93,0.0354,0.0,693.55,0.0,0.0,23.85,23.63,0.01127,60.02,0.0273,0.0,665.9,0.0,205.08,161.23,0.0,602.6,3640406.76,687443.21,687443.21,0.0
182,1,0,17.09,87.32,17.24,86.9,0.2605,461.68,24.39,60.36,0.2605,679.21,24.67,59.18,0.2605,689.25,17.06,86.98,0.2605,467.95,8.98,101.45,0.2605,448.07,9.09,101.45,0.2605,446.53,11.29,98.84,0.2605,464.69,23.52,23.25,0.01148,63.03,0.0148,0.0,712.63,0.0,468.72,23.5,23.41,0.01142,60.71,0.0064,0.0,683.11,0.0,200.88,23.63,23.28,0.01143,60.41,0.0144,0.0,698.19,0.0,562.5,23.85,25.88,0.01087,57.24,0.1977,0.0,569.5,0.0,2400.0,23.74,23.48,0.01123,59.99,0.0273,0.0,652.29,0.0,205.08,530.68,0.0,602.6,5803151.04,1019952.66,1019952.66,0.0
182,1,15,16.9,85.64,16.96,86.44,0.0785,484.76,24.36,57.71,0.0785,641.44,24.51,59.54,0.0785,662.62,16.99,87.47,0.0785,454.32,12.76,100.8,0.0785,478.23,12.68,100.32,0.0785,478.74,20.36,70.36,0.0785,472.19,23.59,23.06,0.01142,60.35,0.0148,0.0,693.36,0.0,459.0,23.66,23.22,0.01137,61.17,0.0064,0.0,690.47,0.0,196.69,23.83,23.13,0.01138,60.4,0.0144,0.0,676.16,0.0,574.22,23.88,24.13,0.01054,55.19,0.0157,0.0,499.11,0.0,0.0,23.61,23.27,0.01119,61.15,0.0273,0.0,660.95,0.0,199.22,76.49,0.0,602.6,1475157.96,611181.9,611181.9,0.0
182,1,30,16.91,85.64,16.96,86.16,0.0692,446.46,23.97,57.24,0.0692,626.55,24.23,59.41,0.0692,650.1,17.08,89.5,0.0692,454.62,7.56,102.16,0.0692,472.1,7.51,100.69,0.0692,459.71,16.07,90.06,0.0692,465.03,23.38,22.94,0.01137,60.65,0.0148,0.0,648.55,0.0,439.44,23.65,23.11,0.01132,61.42,0.0064,0.0,670.47,0.0,188.33,23.58,22.99,0.01133,61.43,0.0144,0.0,651.25,0.0,562.5,23.81,23.59,0.01044,55.4,0.0064,0.0,474.2,0.0,0.0,23.39,23.15,0.01116,59.52,0.0273,0.0,646.97,0.0,199.22,149.91,0.0,602.6,1438814.88,677254.75,677254.75,0.0
182,1,45,16.84,86.87,16.74,87.39,0.0692,477.75,23.81,58.48,0.0692,664.97,23.8,61.74,0.0692,626.39,16.59,87.77,0.0692,454.21,6.38,99.52,0.0692,450.55,6.45,100.09,0.0692,461.19,14.97,95.38,0.0692,456.03,23.14,22.76,0.01133,63.74,0.0148,0.0,661.94,0.0,439.44,23.28,22.97,0.01128,61.75,0.0064,0.0,616.11,0.0,188.34,23.31,22.85,0.0113,61.16,0.0144,0.0,638.75,0.0,574.21,23.26,23.25,0.01041,58.93,0.0064,0.0,481.2,0.0,0.0,22.94,22.98,0.01113,60.71,0.0273,0.0,603.78,0.0,199.22,165.28,0.0,602.6,1450026.36,691092.51,691092.51,0.0
182,2,0,16.72,87.31,16.86,88.35,0.0831,478.79,23.85,60.45,0.0831,609.13,23.83,59.26,0.0831,595.25,16.65,87.66,0.0831,449.21,6.63,98.53,0.0831,460.38,6.58,99.47,0.0831,450.33,13.53,100.51,0.0831,458.06,22.99,22.62,0.01128,63.6,0.0148,0.0,645.22,0.0,439.44,23.04,22.8,0.01123,61.07,0.0064,0.0,615.86,0.0,188.33,23.03,22.71,0.01125,61.98,0.0144,0.0,659.1,0.0,562.5,23.78,24.69,0.01042,52.66,0.0202,0.0,524.06,0.0,0.0,23.08,22.82,0.01109,62.07,0.0273,0.0,591.49,0.0,199.21,198.75,0.0,602.6,3631313.16,705798.44,705798.44,0.0
182,2,15,16.68,87.45,16.66,86.31,0.0692,455.48,23.98,58.83,0.0692,619.69,23.85,59.98,0.0692,626.11,16.61,88.08,0.0692,474.06,7.92,100.15,0.0692,447.58,7.84,100.75,0.0692,495.41,16.34,88.03,0.0692,454.85,22.91,22.47,0.01123,64.41,0.0148,0.0,648.35,0.0,439.44,23.14,22.68,0.01119,62.4,0.0064,0.0,633.33,0.0,188.33,22.93,22.58,0.0112,63.44,0.0144,0.0,631.18,0.0,562.5,23.63,23.54,0.01042,56.7,0.0064,0.0,486.49,0.0,0.0,22.68,22.69,0.01105,62.01,0.0273,0.0,601.16,0.0,199.21,140.82,0.0,602.6,1438805.16,669081.1,669081.1,0.0
182,2,30,16.47,86.39,16.59,85.43,0.0692,458.56,23.41,61.33,0.0692,611.57,23.56,60.4,0.0692,606.89,16.62,84.39,0.0692,431.65,6.4,99.74,0.0692,468.15,6.54,100.39,0.0692,486.84,14.94,93.91,0.0692,460.6,22.64,22.37,0.01119,62.75,0.0148,0.0,639.47,0.0,478.56,22.85,22.56,0.01115,61.5,0.0064,0.0,637.62,0.0,205.08,22.96,22.47,0.01116,62.83,0.0144,0.0,636.14,0.0,574.22,23.24,23.08,0.01042,58.08,0.0064,0.0,477.96,0.0,0.0,22.71,22.64,0.01102,62.02,0.0273,0.0,604.23,0.0,199.21,162.9,0.0,602.6,1685532.24,688945.72,688945.72,0.0
