Time,VAV SYS 1:DesPer 1:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Heat Cap [W],VAV SYS 1:DesPer 1:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Sens Cool Cap [W],VAV SYS 1:DesPer 1:Des Tot Cool Cap [W],VAV SYS 1:DesPer 2:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Heat Cap [W],VAV SYS 1:DesPer 2:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Sens Cool Cap [W],VAV SYS 1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,5.655403E-01,2.006057E+04,5.655403E-01,0.000000E+00,0.000000E+00,5.655403E-01,0.000000E+00,9.440641E-01,7.327485E+03,1.564008E+04
00:30:00,5.655403E-01,2.006057E+04,5.655403E-01,0.000000E+00,0.000000E+00,5.655403E-01,0.000000E+00,9.303951E-01,7.114769E+03,1.541990E+04
00:45:00,5.655403E-01,2.006057E+04,5.655403E-01,0.000000E+00,0.000000E+00,5.655403E-01,0.000000E+00,9.173060E-01,6.906847E+03,1.520460E+04
01:00:00,5.655403E-01,2.006057E+04,5.655403E-01,0.000000E+00,0.000000E+00,5.655403E-01,0.000000E+00,9.047661E-01,6.703478E+03,1.499397E+04
01:15:00,5.655403E-01,2.006057E+04,5.655403E-01,0.000000E+00,0.000000E+00,5.655403E-01,0.000000E+00,8.928962E-01,6.536172E+03,1.482041E+04
01:30:00,5.655403E-01,2.006057E+04,5.655403E-01,0.000000E+00,0.000000E+00,5.655403E-01,0.000000E+00,8.817082E-01,6.374679E+03,1.465286E+04
01:45:00,5.655403E-01,2.006057E+04,5.655403E-01,0.000000E+00,0.000000E+00,5.655403E-01,0.000000E+00,8.711578E-01,6.218648E+03,1.449091E+04
02:00:00,5.655403E-01,2.006057E+04,5.655403E-01,0.000000E+00,0.000000E+00,5.655403E-01,0.000000E+00,8.612322E-01,6.068006E+03,1.433454E+04
02:15:00,5.655403E-01,2.006057E+04,5.655403E-01,0.000000E+00,0.000000E+00,5.655403E-01,0.000000E+00,8.517683E-01,5.936504E+03,1.419785E+04
02:30:00,5.655403E-01,2.006057E+04,5.655403E-01,0.000000E+00,0.000000E+00,5.655403E-01,0.000000E+00,8.427307E-01,5.808643E+03,1.406491E+04
