DayOfYear,Hour,Minute,Out_Temp_C,Out_RH_pct,Mixer_Inlet_Flow_kg_s,Mixed_Air_Flow_kg_s,CC_Out_Flow_kg_s,HC_Out_Flow_kg_s,Fan_Out_Flow_kg_s,SPACE1-1_Temp_C,SPACE1-1_RH_pct,SPACE1-1_VAV_Flow_kg_s,SPACE2-1_Temp_C,SPACE2-1_RH_pct,SPACE2-1_VAV_Flow_kg_s,SPACE3-1_Temp_C,SPACE3-1_RH_pct,SPACE3-1_VAV_Flow_kg_s,SPACE4-1_Temp_C,SPACE4-1_RH_pct,SPACE4-1_VAV_Flow_kg_s,SPACE5-1_Temp_C,SPACE5-1_RH_pct,SPACE5-1_VAV_Flow_kg_s
182,0,16,17.15,89.25,4.5,4.5,4.5,4.5,4.5,21.29,63.03,0.9,19.78,69.44,0.9,21.3,63.03,0.9,19.78,69.44,0.9,22.02,62.34,0.9
182,0,33,17.1,88.5,4.5,4.5,4.5,4.5,4.5,21.11,62.42,0.9,18.98,71.14,0.9,21.11,62.42,0.9,18.98,71.13,0.9,21.19,62.93,0.9
182,0,52,17.05,87.75,4.5,4.5,4.5,4.5,4.5,21.1,61.93,0.9,18.72,71.73,0.9,21.1,61.93,0.9,18.72,71.73,0.9,21.11,62.32,0.9
182,1,0,17.0,87.0,4.5,4.5,4.5,4.5,4.5,21.1,61.6,0.9,18.59,71.85,0.9,21.1,61.6,0.9,18.59,71.85,0.9,21.1,61.88,0.9
182,1,15,16.93,87.0,4.5,4.5,4.5,4.5,4.5,21.1,61.33,0.9,18.47,72.13,0.9,21.1,61.33,0.9,18.47,72.12,0.9,21.1,61.45,0.9
182,1,30,16.85,87.0,4.5,4.5,4.5,4.5,4.5,21.08,61.31,0.9,18.39,72.42,0.9,21.07,61.35,0.9,18.39,72.42,0.9,21.1,61.27,0.9
182,1,45,16.77,87.0,4.5,4.5,4.5,4.5,4.5,21.03,61.4,0.9,18.33,72.59,0.9,21.01,61.46,0.9,18.33,72.59,0.9,21.1,61.17,0.9
182,2,0,16.7,87.0,4.5,4.5,4.5,4.5,4.5,20.99,61.47,0.9,18.28,72.67,0.9,20.97,61.54,0.9,18.28,72.67,0.9,21.1,61.08,0.9
182,2,15,16.62,87.0,4.5,4.5,4.5,4.5,4.5,20.95,61.5,0.9,18.24,72.71,0.9,20.93,61.58,0.9,18.24,72.71,0.9,21.1,60.98,0.9
182,2,30,16.55,87.0,4.5,4.5,4.5,4.5,4.5,20.92,61.52,0.9,18.22,72.72,0.9,20.89,61.6,0.9,18.22,72.72,0.9,21.1,60.87,0.9
