Time,amb_t,amb_h,amb_co2,ret_t,ret_h,ret_co2,mix_t,mix_h,mix_p,cool_t,cool_h,cool_p,heat_t,heat_h,heat_p,rel_t,rel_h,rel_co2,r1_t,r1_co2,blower_cmd,cool_cmd,heat_cmd,hum_cmd,mix_cmd
11:59:13,30.7,75.45,418,28.9,40.53,439,25.09,55.34,0,21.31,57.62,954.78,22.26,59.5,955.3,24.57,63.29,475,22.5,450,0,0,0,0,0
11:59:23,30.68,75.12,401,28.96,41.05,420,25.07,55.43,0,21.36,56.89,954.81,22.33,59.28,955.32,24.79,62.97,475,22.5,450,0,0,0,0,0
11:59:33,30.5,75.57,415,29.01,41.03,443,25.03,55.4,0,21.44,56.58,954.82,22.42,58.95,955.34,24.98,62.73,483,22.5,450,30,0,0,0,0
11:59:43,30.43,75.93,416,29.04,40.89,424,25,55.32,0,21.5,56.54,954.73,22.49,58.61,955.33,25.15,62.06,454,22.5,450,30,0,0,0,0
11:59:53,30.44,76.12,433,29.09,40.5,420,24.98,55.21,0,21.56,57.68,954.72,22.78,70.47,955.38,25.34,61.13,428,22.5,450,30,0,0,0,0
12:00:03,30.4,76.07,430,29.12,39.79,400,24.93,56.01,0,21.7,65.21,954.75,23.03,73.16,955.36,25.5,60.99,468,22.5,450,30,0,0,0,0
12:00:13,30.36,76.22,426,29.15,38.75,405,24.88,55.34,0,21.83,73.63,954.75,23.32,77.14,955.36,25.62,60.81,401,22.5,450,30,0,0,0,0
12:00:23,30.47,76.15,441,29.16,37.96,410,24.83,54.29,0,21.97,76.32,954.79,23.68,82.25,955.3,25.8,60.48,441,22.5,450,30,0,0,0,0
12:00:33,30.52,76.13,415,29.18,37.27,403,24.79,53.52,0,22.19,79.97,954.79,23.97,83.74,955.38,25.96,60.82,411,22.5,450,30,0,0,0,0
12:00:43,30.62,76.26,465,29.21,37.05,412,24.72,52.98,0,22.48,81.76,954.67,24.15,83.18,955.36,26.12,61.71,434,22.5,450,30,0,0,0,0
12:00:53,30.76,76.14,445,29.22,36.98,436,24.71,52.48,0,22.89,82.22,954.73,24.39,82.67,955.32,26.27,62.52,424,22.5,450,30,0,0,0,0
12:01:03,30.76,75.65,408,29.27,37.09,418,24.68,52.25,0,23.37,80.94,954.78,24.75,83.41,955.41,26.41,62.83,417,22.5,450,30,0,0,0,0
12:01:13,30.68,75.59,439,29.28,37.04,447,24.66,52.76,0,23.91,76.45,954.72,25.17,79.82,955.4,26.58,63.06,420,22.5,450,30,0,0,0,0
12:01:24,30.64,76.39,441,29.32,36.38,419,24.64,52.36,0,24.84,69.01,954.66,25.95,72.9,955.38,26.8,63.51,401,22.5,450,30,0,0,0,0
12:01:35,30.74,76.09,448,29.35,36.53,426,24.62,51.82,0,25.54,64.07,954.66,26.56,68.57,955.32,26.94,64.33,432,22.5,450,30,0,0,0,0
12:01:45,30.85,75.81,417,29.35,36.1,417,24.57,51.51,0,26.37,60.06,954.65,27.27,64.11,955.3,27.07,64.82,431,22.5,450,30,0,0,0,0
12:01:56,30.97,75.39,434,29.37,35.84,419,24.52,51.49,0,27.3,55.77,954.64,28.04,60.56,955.31,27.23,65.11,434,22.5,450,30,0,0,0,0
12:02:06,31.02,75.05,441,29.38,35.52,440,24.48,51.16,0,28.23,51.85,954.58,28.86,56.72,955.27,27.39,65.1,490,22.5,450,30,0,0,0,0
12:02:17,30.97,75.11,451,29.31,35.08,442,24.43,50.92,0,29.28,47.94,954.58,29.75,53.23,955.28,27.59,64.62,544,22.5,450,30,0,0,0,0
12:02:28,31.04,75.05,415,29.33,34.77,475,24.39,50.52,0,30.42,44.31,954.55,30.73,49.73,955.38,27.75,63.86,601,22.5,450,30,0,0,0,0
12:02:38,31.12,74.79,447,29.32,34.41,504,24.35,50.17,0,31.6,40.92,954.44,31.77,46.58,955.4,27.93,62.97,700,22.5,450,30,0,0,0,0
12:02:49,31.06,74.79,430,29.34,34.19,573,24.29,49.86,0,32.78,37.89,954.55,32.86,43.18,955.35,0,0,0,22.5,450,30,0,0,0,0
12:02:59,31.09,74.6,423,29.28,33.88,622,24.24,49.32,0,34.73,33.9,954.48,34.6,38.57,955.41,28.4,60.42,868,22.5,450,30,0,0,0,0
12:03:10,31.11,74.48,411,29.32,33.68,731,24.21,49.11,0,36.11,31.07,954.46,35.8,35.86,955.4,28.58,59.48,921,22.5,450,30,0,0,0,0
12:03:20,30.98,74.55,427,29.3,33.5,804,24.2,48.83,0,37.54,28.68,954.48,37.04,33.43,955.3,28.81,58.46,973,22.5,450,30,0,0,0,0
12:03:30,30.95,74.88,444,29.29,33.28,827,24.17,48.63,0,38.97,26.19,954.55,38.31,30.92,955.38,28.99,57.61,995,22.5,450,30,0,0,0,0
12:03:41,30.93,75.04,431,29.27,33.26,847,24.13,48.45,0,40.47,23.99,954.48,39.63,28.57,955.41,29.17,56.85,1031,22.5,450,30,0,0,0,0
12:03:52,31.02,75.14,452,29.27,33.18,874,24.11,48.03,0,41.95,22.73,954.48,40.98,26.29,955.36,29.36,56.03,1077,22.5,450,30,0,0,0,0
12:04:03,31.06,74.72,459,29.33,33.14,921,24.08,48.14,0,42.42,28.81,954.52,42.18,25.34,955.34,29.5,55.15,1111,22.5,450,60,0,0,0,0
12:04:13,30.89,75.08,430,28.51,47.62,707,24.37,56.57,0,39.22,21.86,954.36,48.2,16.77,955.24,28.92,47.05,400,22.5,450,60,0,0,0,0
12:04:23,30.93,75.58,426,27.61,56.58,638,24.93,67.21,0,34.55,29.83,954.4,51.16,14.58,955.26,28.96,46.44,419,22.5,450,60,0,0,0,0
12:04:34,30.97,75.54,423,27.4,61.64,608,25.6,72.51,0,31.34,39.64,954.44,52.59,13.58,955.22,29.25,48.33,517,22.5,450,60,0,0,0,0
12:04:44,31.08,75.1,432,27.45,62.77,618,25.78,73.06,0,30.79,41.26,954.42,52.44,13.52,955.16,29.02,49.09,534,22.5,450,60,0,0,0,0
12:04:54,31.03,75.44,471,27.53,63.12,596,26.23,73.15,0,29.13,43.5,954.46,188.13,100,1149.16,28.72,49.38,558,22.5,450,60,0,0,0,0
12:05:04,30.96,75.1,428,27.66,62.97,574,26.46,72.66,0,27.79,45.36,954.48,50.4,14.27,955.16,28.48,49.51,567,22.5,450,60,0,0,0,0
12:05:14,30.96,75.33,495,27.79,62.59,586,26.65,72.02,0,26.38,47.07,954.45,48.89,15.08,955.06,28.42,49.55,577,22.5,450,60,0,0,0,0
12:05:24,30.92,75.2,428,27.86,62.22,578,26.76,71.75,0,25.82,49.68,954.51,48.24,15.85,955.05,28.22,49.81,588,22.5,450,60,0,0,0,0
12:05:34,30.89,75.12,426,27.93,61.85,548,26.87,71.14,0,25.08,53.44,954.56,46.89,16.86,955.05,27.81,50.11,614,22.5,450,60,0,0,0,0
12:05:44,31,75.68,440,27.96,61.52,577,26.98,70.58,0,24.89,56.96,954.55,45.7,18.11,955.08,27.17,50.96,605,22.5,450,60,0,0,0,0
12:05:54,31.12,75.92,512,27.97,61.19,559,27.04,70.11,0,25.16,59.11,954.57,44.58,18.86,954.94,26.61,52.05,610,22.5,450,60,0,0,0,0
12:06:04,31.2,74.93,422,27.98,60.97,580,27.13,69.5,0,24.79,60.13,954.58,43.33,20.84,954.95,26.06,52.95,635,22.5,450,60,0,0,0,0
12:06:14,31.32,74.53,427,27.99,60.78,538,27.18,69.2,0,24.83,62.76,954.51,42.05,22.23,954.94,25.6,53.59,648,22.5,450,60,0,0,0,0
12:06:25,31.26,74.25,484,27.96,60.6,551,27.21,68.92,0,24.73,62.52,954.55,40.68,23.73,955,25.1,54.41,641,22.5,450,60,0,0,0,0
12:06:35,31.12,74.91,493,27.9,60.54,543,27.2,68.68,0,24.47,62.31,954.53,39.66,25.36,954.93,24.69,55.51,661,22.5,450,60,0,0,0,0
12:06:45,31.09,75.58,552,27.86,60.44,536,27.19,68.45,0,24.37,65.26,954.6,38.56,26.72,954.84,24.28,56.34,655,22.5,450,60,0,0,0,0
12:06:55,31.16,75.23,465,27.77,60.43,546,27.19,68.34,0,24.24,65.33,954.54,37.45,27.95,954.85,23.78,56.87,647,22.5,450,60,0,0,0,0
12:07:05,31.21,74.63,451,27.7,60.45,530,27.16,68.19,0,23.65,61.74,954.48,36.32,29,954.85,23.54,58,660,22.5,450,60,0,0,0,0
12:07:15,31.34,74.46,461,27.64,60.47,514,27.17,68.16,0,22.05,62.04,954.54,34.76,30.32,954.76,23.54,59.13,659,22.5,450,60,0,0,0,0
12:07:25,31.27,74.02,434,27.55,60.44,534,27.11,68.06,0,20.97,63,954.48,33.37,32.11,954.72,23.29,59.44,649,22.5,450,60,0,0,0,0
12:07:35,31.14,74.39,455,27.45,60.43,507,27.16,69.31,0,19.84,63.51,954.59,32.47,33.66,954.71,22.89,59.83,657,22.5,450,60,0,0,0,0
12:07:45,31.08,74.39,418,27.38,60.42,505,27.18,69.94,0,18.87,63.15,954.64,31.5,34.72,954.88,22.5,60.17,638,22.5,450,60,0,0,0,0
12:07:55,30.98,75.25,460,27.29,60.33,506,27.23,71.51,0,18.08,64.92,954.62,30.66,36.36,954.87,22.21,61.03,640,22.5,450,60,0,0,0,0
12:08:05,31.06,75.33,438,27.22,60.31,520,27.26,71.86,0,17.66,67.97,954.71,29.93,38.36,954.89,21.88,62.05,632,22.5,450,60,0,0,0,0
12:08:15,31.02,74.96,420,27.12,60.24,509,27.27,71.91,0,17.25,67.73,954.67,29.49,39.26,954.81,21.94,62.92,631,22.5,450,60,0,0,0,0
12:08:25,31.15,74.47,423,27.05,60.28,517,27.29,71.99,0,16.98,68.26,954.65,29.78,38.96,954.82,22.39,62.38,619,22.5,450,60,0,0,0,0
12:08:35,31.21,74.08,428,27.01,60.23,523,27.27,71.77,0,16.76,69.41,954.69,30.33,37.99,954.8,23.12,61.14,635,22.5,450,60,0,0,0,0
12:08:45,31.15,74.59,450,26.95,60.14,508,27.2,71.15,0,16.68,69.91,954.66,31.29,37.45,954.76,23.68,59.74,631,22.5,450,60,0,0,0,0
12:08:56,31.31,74.89,475,26.95,60.07,498,27.18,70.49,0,16.48,68.48,954.73,32.2,35.41,954.77,24.07,58.22,623,22.5,450,60,0,0,0,0
12:09:07,31.4,74.24,435,26.97,59.91,481,27.13,69.92,0,16.41,68.65,954.7,33.26,33.64,954.87,24.45,56.85,643,22.5,450,60,0,0,0,0
12:09:17,31.44,73.56,442,26.99,59.8,500,27.13,69.55,0,16.34,67.85,954.64,34.27,30.84,954.82,24.83,55.75,639,22.5,450,60,0,0,0,0
12:09:27,31.43,73.48,455,27.03,59.57,476,27.1,69.65,0,16.35,67.92,954.71,35.29,29.82,954.79,25.08,54.71,621,22.5,450,60,0,0,0,0
