Time,amb_t,amb_h,amb_co2,ret_t,ret_h,ret_co2,mix_t,mix_h,mix_p,cool_t,cool_h,cool_p,heat_t,heat_h,heat_p,rel_t,rel_h,rel_co2,r1_t,r1_co2,blower_cmd,cool_cmd,heat_cmd,hum_cmd,mix_cmd
11:48:11,30.56,76.23,423,28.11,77.58,439,28.4,82.64,0,23.3,62.79,955.02,25.8,57.04,955.56,21.63,57.84,608,22.5,450,50,0,0,0,0
11:48:21,30.67,75.74,434,27.88,78.25,428,28.24,82.88,0,23.22,63.83,954.94,25.41,57.82,955.55,20.88,59.46,612,22.5,450,50,0,0,0,0
11:48:31,30.68,75.38,445,27.64,78.63,455,28.1,82.83,0,23.16,66.42,955.07,25.05,59.04,955.54,20.37,61.33,618,22.5,450,50,0,0,0,0
11:48:41,30.63,75.27,431,27.48,78.82,429,28,82.81,0,23.12,67.59,954.98,24.68,59.84,955.53,19.81,62.53,616,22.5,450,50,0,0,0,0
11:48:51,30.65,74.91,438,27.31,78.51,438,27.88,82.43,0,22.65,66.58,954.95,24.34,60.35,955.56,19.44,64.04,614,22.5,450,50,0,0,0,0
11:49:01,30.69,74.62,423,27.19,78.37,450,27.75,82.04,0,22.37,67.43,955.03,24.01,60.81,955.46,19.07,65.31,586,22.5,450,50,0,0,0,0
11:49:11,30.69,74.57,431,27.07,78.36,426,27.67,81.93,0,21.27,58.92,955.05,23.7,60.76,955.54,18.84,66.44,602,22.5,450,50,0,0,0,0
11:49:21,30.57,74.87,407,26.98,78.29,446,27.57,81.88,0,19.97,58.83,955.1,23.41,61.64,955.5,18.51,66.99,599,22.5,450,50,0,0,0,0
11:49:31,30.57,75.33,467,26.9,77.94,455,27.48,81.57,0,19.04,62.24,955.07,23.21,62.8,955.54,18.22,67.67,595,22.5,450,50,0,0,0,0
11:49:41,30.61,75.3,440,26.83,77.54,451,27.43,81.3,0,18.66,67.69,955.09,23.07,65.75,955.52,18.36,70.24,646,22.5,450,50,0,0,0,0
11:49:51,30.63,75.58,428,26.76,76.96,434,27.38,80.92,0,19.03,76.93,955.11,23.17,70.61,955.56,19.28,75.72,638,22.5,450,50,0,0,0,0
11:50:01,30.71,75.39,435,26.69,76.77,436,27.31,80.57,0,19.62,81.86,955.08,23.31,74.06,955.63,20.23,80.91,619,22.5,450,50,0,0,0,0
11:50:11,30.64,75.45,439,26.67,76.49,430,27.27,80.41,0,20.31,85.7,955.11,23.51,77.49,955.5,21.14,85,614,22.5,450,50,0,0,0,0
11:50:21,30.68,75.46,437,26.63,76.41,440,27.24,80.29,0,21.19,88.02,955.04,23.72,80.05,955.57,21.97,87.91,615,22.5,450,50,0,0,0,0
11:50:31,30.72,75.47,471,26.61,76.42,438,27.2,80.33,0,21.86,89.08,955.03,23.89,81.86,955.59,22.65,89.54,592,22.5,450,50,0,0,0,0
11:50:42,30.62,75.82,447,26.58,76.67,461,27.16,80.51,0,22.25,89.7,955,24.06,83.12,955.56,23.15,90.44,575,22.5,450,50,0,0,0,0
11:50:53,30.66,75.94,455,26.54,76.95,456,27.13,80.7,0,22.68,90.16,954.93,24.2,83.74,955.49,23.52,90.78,574,22.5,450,50,0,0,0,0
11:51:03,30.84,76.37,495,26.55,77.11,431,27.13,80.82,0,23.04,90.27,955.03,24.33,84.1,955.57,23.84,90.84,573,22.5,450,50,0,0,0,0
11:51:13,30.89,75.8,486,26.53,77.31,446,27.11,81.07,0,23.25,90.18,954.97,24.47,84.61,955.58,24.08,90.75,567,22.5,450,50,0,0,0,0
11:51:24,30.89,75.34,457,26.55,77.59,438,27.1,81.23,0,23.36,90.24,954.94,24.56,84.82,955.6,24.28,90.65,554,22.5,450,50,0,0,0,0
11:51:34,30.83,75.02,462,26.53,77.84,436,27.09,81.5,0,23.5,90.18,954.96,24.66,84.78,955.58,24.4,90.57,559,22.5,450,50,0,0,0,0
11:51:45,30.94,74.77,460,26.53,78.18,437,27.08,81.86,0,23.71,89.96,955.02,24.75,84.93,955.57,24.57,90.45,548,22.5,450,50,0,0,0,0
11:51:55,30.98,74.68,458,26.52,78.38,419,27.07,82.1,0,23.91,89.6,954.99,24.83,84.91,955.56,24.7,90.34,553,22.5,450,50,0,0,0,0
11:52:05,30.88,74.72,440,26.56,78.68,427,27.07,82.35,0,24.12,89.02,955.02,24.9,85.01,955.57,24.78,90.23,531,22.5,450,50,0,0,0,0
11:52:15,30.88,74.58,442,26.55,78.91,439,27.07,82.53,0,24.13,86.08,954.98,24.84,81.81,955.66,24.62,88.81,504,22.5,450,50,0,0,0,0
11:52:25,30.88,74.53,428,26.57,79.17,412,27.05,82.71,0,23.91,79.36,954.99,24.54,75.64,955.52,23.68,83.14,466,22.5,450,50,0,0,0,0
11:52:35,30.92,74.6,435,26.55,79.35,436,27.01,82.96,0,23.68,74.38,954.92,24.24,72.02,955.57,22.6,77.26,476,22.5,450,50,0,0,0,0
11:52:45,30.89,74.61,400,26.54,79.38,421,27.02,82.84,0,23.14,70.63,954.96,23.91,69.23,955.59,21.56,73.09,467,22.5,450,50,0,0,0,0
11:52:55,30.86,74.82,448,26.59,79.2,421,26.98,82.94,0,22.57,66.56,954.95,23.62,67.87,955.52,20.86,71.01,518,22.5,450,50,0,0,0,0
11:53:05,30.82,74.85,443,26.56,78.89,452,26.93,82.84,0,21.67,64.74,954.97,23.31,66.65,955.5,20.2,69.84,507,22.5,450,50,0,0,0,0
11:53:15,30.92,74.81,423,26.56,78.53,443,26.93,82.56,0,21.69,72.47,954.96,23.08,67,955.48,19.47,68.5,503,22.5,450,50,0,0,0,0
11:53:25,30.92,74.76,454,26.55,78.13,442,26.87,82.35,0,21.68,71.28,955.01,22.79,65.96,955.48,18.92,67.97,526,22.5,450,50,0,0,0,0
11:53:35,30.88,74.68,400,26.5,77.63,405,26.83,82.17,0,21.24,67.97,954.98,22.57,66.3,955.43,18.47,68.16,534,22.5,450,50,0,0,0,0
11:53:45,30.86,74.68,417,26.48,77.18,443,26.81,81.82,0,21.02,70.23,954.98,22.34,66.33,955.48,18.15,68.41,532,22.5,450,50,0,0,0,0
11:53:55,30.89,74.67,428,26.5,76.81,448,26.77,81.42,0,21.11,72.43,954.95,22.23,66.1,955.56,18.18,69.89,531,22.5,450,50,0,0,0,0
11:54:05,30.93,74.55,444,26.48,76.06,436,26.74,80.76,0,21.26,72.93,954.99,22.17,64.84,955.44,18.46,70.31,501,22.5,450,50,0,0,0,0
11:54:15,30.86,74.56,419,26.45,75.67,441,26.72,80.56,0,21.19,72.23,954.93,21.86,65.61,955.52,17.87,68.22,508,22.5,450,50,0,0,0,0
11:54:25,30.81,74.75,417,26.41,75.32,436,26.68,80.41,0,21,71.41,954.94,21.64,67.19,955.48,17.6,68.7,537,22.5,450,50,0,0,0,0
11:54:35,30.82,74.98,464,26.34,74.65,415,26.68,79.85,0,20.75,71.02,954.96,-59.41,100,838.03,17.39,69.65,554,22.5,450,50,0,0,0,0
11:54:45,30.84,75.27,446,26.3,74.29,413,26.62,79.49,0,19.75,65.77,955,21.31,68.23,955.48,17.19,70.67,542,22.5,450,50,0,0,0,0
11:54:55,30.92,75.21,444,26.24,73.95,443,26.59,79.17,0,19.53,72.19,954.93,21.16,68.82,955.38,17.07,71.63,529,22.5,450,50,0,0,0,0
